Grandezza,Valore,Giorno,Mese,Anno
TEMPARIA2M_MAXG,"4,7",16,1,2017
TEMPARIA2M_MAXG,7,17,1,2017
TEMPARIA2M_MAXG,"9,8",18,1,2017
TEMPARIA2M_MAXG,"11,1",19,1,2017
TEMPARIA2M_MAXG,"13,7",20,1,2017
TEMPARIA2M_MAXG,"13,5",21,1,2017
TEMPARIA2M_MAXG,"13,6",22,1,2017
TEMPARIA2M_MAXG,"11,8",23,1,2017
TEMPARIA2M_MAXG,"16,6",24,1,2017
TEMPARIA2M_MAXG,"16,5",25,1,2017
TEMPARIA2M_MAXG,"13,4",26,1,2017
TEMPARIA2M_MAXG,"13,5",27,1,2017
TEMPARIA2M_MAXG,"14,8",28,1,2017
TEMPARIA2M_MAXG,"15,6",29,1,2017
TEMPARIA2M_MAXG,"15,6",30,1,2017
TEMPARIA2M_MAXG,"9,1",31,1,2017
TEMPARIA2M_MAXG,13,1,2,2017
TEMPARIA2M_MAXG,"11,8",2,2,2017
TEMPARIA2M_MAXG,"15,5",3,2,2017
TEMPARIA2M_MAXG,"14,6",4,2,2017
TEMPARIA2M_MAXG,"12,6",5,2,2017
TEMPARIA2M_MAXG,"11,3",6,2,2017
TEMPARIA2M_MAXG,"17,1",7,2,2017
TEMPARIA2M_MAXG,"13,5",8,2,2017
TEMPARIA2M_MAXG,"11,8",9,2,2017
TEMPARIA2M_MAXG,"17,3",10,2,2017
TEMPARIA2M_MAXG,"16,8",11,2,2017
TEMPARIA2M_MAXG,17,12,2,2017
TEMPARIA2M_MAXG,"17,1",13,2,2017
TEMPARIA2M_MAXG,"16,6",14,2,2017
TEMPARIA2M_MAXG,"17,2",15,2,2017
TEMPARIA2M_MAXG,"17,3",16,2,2017
TEMPARIA2M_MAXG,"17,4",17,2,2017
TEMPARIA2M_MAXG,"15,1",18,2,2017
TEMPARIA2M_MAXG,"16,8",19,2,2017
TEMPARIA2M_MAXG,"12,7",20,2,2017
TEMPARIA2M_MAXG,"16,7",21,2,2017
TEMPARIA2M_MAXG,"12,3",22,2,2017
TEMPARIA2M_MAXG,"16,5",23,2,2017
TEMPARIA2M_MAXG,13,24,2,2017
TEMPARIA2M_MAXG,"14,4",25,2,2017
TEMPARIA2M_MAXG,"19,1",26,2,2017
TEMPARIA2M_MAXG,"17,2",27,2,2017
TEMPARIA2M_MAXG,"15,6",28,2,2017
TEMPARIA2M_MAXG,"17,7",1,3,2017
TEMPARIA2M_MAXG,"14,1",2,3,2017
TEMPARIA2M_MAXG,20,3,3,2017
TEMPARIA2M_MAXG,"11,8",4,3,2017
TEMPARIA2M_MAXG,"13,7",5,3,2017
TEMPARIA2M_MAXG,"16,7",6,3,2017
TEMPARIA2M_MAXG,11,7,3,2017
TEMPARIA2M_MAXG,"16,4",8,3,2017
TEMPARIA2M_MAXG,"22,5",9,3,2017
TEMPARIA2M_MAXG,22,10,3,2017
TEMPARIA2M_MAXG,"16,6",11,3,2017
TEMPARIA2M_MAXG,"18,5",12,3,2017
TEMPARIA2M_MAXG,"19,8",13,3,2017
TEMPARIA2M_MAXG,"20,5",14,3,2017
TEMPARIA2M_MAXG,"19,9",15,3,2017
TEMPARIA2M_MAXG,"22,3",16,3,2017
TEMPARIA2M_MAXG,"22,6",17,3,2017
TEMPARIA2M_MAXG,"14,4",18,3,2017
TEMPARIA2M_MAXG,"17,7",19,3,2017
TEMPARIA2M_MAXG,"19,9",20,3,2017
TEMPARIA2M_MAXG,22,21,3,2017
TEMPARIA2M_MAXG,"16,8",22,3,2017
TEMPARIA2M_MAXG,"18,7",23,3,2017
TEMPARIA2M_MAXG,"22,5",24,3,2017
TEMPARIA2M_MAXG,"23,2",25,3,2017
TEMPARIA2M_MAXG,"19,5",26,3,2017
TEMPARIA2M_MAXG,"18,8",27,3,2017
TEMPARIA2M_MAXG,21,28,3,2017
TEMPARIA2M_MAXG,"24,9",29,3,2017
TEMPARIA2M_MAXG,"26,8",30,3,2017
TEMPARIA2M_MAXG,"24,4",31,3,2017
TEMPARIA2M_MAXG,"21,6",1,4,2017
TEMPARIA2M_MAXG,"13,3",2,4,2017
TEMPARIA2M_MAXG,17,3,4,2017
TEMPARIA2M_MAXG,24,4,4,2017
TEMPARIA2M_MAXG,"20,9",5,4,2017
TEMPARIA2M_MAXG,"20,5",6,4,2017
TEMPARIA2M_MAXG,"20,7",7,4,2017
TEMPARIA2M_MAXG,"24,6",8,4,2017
TEMPARIA2M_MAXG,"24,2",9,4,2017
TEMPARIA2M_MAXG,"24,7",10,4,2017
TEMPARIA2M_MAXG,"24,8",11,4,2017
TEMPARIA2M_MAXG,"25,6",12,4,2017
TEMPARIA2M_MAXG,"21,1",13,4,2017
TEMPARIA2M_MAXG,"22,6",14,4,2017
TEMPARIA2M_MAXG,"22,4",15,4,2017
TEMPARIA2M_MAXG,26,16,4,2017
TEMPARIA2M_MAXG,"24,8",17,4,2017
TEMPARIA2M_MAXG,"18,5",18,4,2017
TEMPARIA2M_MAXG,"17,3",19,4,2017
TEMPARIA2M_MAXG,"16,7",20,4,2017
TEMPARIA2M_MAXG,"18,3",21,4,2017
TEMPARIA2M_MAXG,"22,6",22,4,2017
TEMPARIA2M_MAXG,"20,4",23,4,2017
TEMPARIA2M_MAXG,"20,7",24,4,2017
TEMPARIA2M_MAXG,"21,3",25,4,2017
TEMPARIA2M_MAXG,"17,9",26,4,2017
TEMPARIA2M_MAXG,16,27,4,2017
TEMPARIA2M_MAXG,"16,4",28,4,2017
TEMPARIA2M_MAXG,"22,5",29,4,2017
TEMPARIA2M_MAXG,"22,4",30,4,2017
TEMPARIA2M_MAXG,"19,8",1,5,2017
TEMPARIA2M_MAXG,"23,7",2,5,2017
TEMPARIA2M_MAXG,"23,6",3,5,2017
TEMPARIA2M_MAXG,"22,6",4,5,2017
TEMPARIA2M_MAXG,"25,3",5,5,2017
TEMPARIA2M_MAXG,"24,3",6,5,2017
TEMPARIA2M_MAXG,"22,9",7,5,2017
TEMPARIA2M_MAXG,"24,1",8,5,2017
TEMPARIA2M_MAXG,"22,7",9,5,2017
TEMPARIA2M_MAXG,"23,2",10,5,2017
TEMPARIA2M_MAXG,"26,2",11,5,2017
TEMPARIA2M_MAXG,"26,4",12,5,2017
TEMPARIA2M_MAXG,"26,5",13,5,2017
TEMPARIA2M_MAXG,"26,2",14,5,2017
TEMPARIA2M_MAXG,"28,3",15,5,2017
TEMPARIA2M_MAXG,"29,6",16,5,2017
TEMPARIA2M_MAXG,"32,3",17,5,2017
TEMPARIA2M_MAXG,"28,1",18,5,2017
TEMPARIA2M_MAXG,"26,3",19,5,2017
TEMPARIA2M_MAXG,"22,6",20,5,2017
TEMPARIA2M_MAXG,"25,7",21,5,2017
TEMPARIA2M_MAXG,"27,8",22,5,2017
TEMPARIA2M_MAXG,"28,8",23,5,2017
TEMPARIA2M_MAXG,"30,6",24,5,2017
TEMPARIA2M_MAXG,30,25,5,2017
TEMPARIA2M_MAXG,30,26,5,2017
TEMPARIA2M_MAXG,"31,8",27,5,2017
TEMPARIA2M_MAXG,"33,4",28,5,2017
TEMPARIA2M_MAXG,"28,1",29,5,2017
TEMPARIA2M_MAXG,"29,2",30,5,2017
TEMPARIA2M_MAXG,"28,3",31,5,2017
TEMPARIA2M_MAXG,"29,3",1,6,2017
TEMPARIA2M_MAXG,"29,5",2,6,2017
TEMPARIA2M_MAXG,"31,4",3,6,2017
TEMPARIA2M_MAXG,"30,2",4,6,2017
TEMPARIA2M_MAXG,"30,3",5,6,2017
TEMPARIA2M_MAXG,"28,1",6,6,2017
TEMPARIA2M_MAXG,"30,2",7,6,2017
TEMPARIA2M_MAXG,"32,5",8,6,2017
TEMPARIA2M_MAXG,"30,7",9,6,2017
TEMPARIA2M_MAXG,"32,8",10,6,2017
TEMPARIA2M_MAXG,"35,8",11,6,2017
TEMPARIA2M_MAXG,"31,6",12,6,2017
TEMPARIA2M_MAXG,"32,9",13,6,2017
TEMPARIA2M_MAXG,"33,2",14,6,2017
TEMPARIA2M_MAXG,"33,6",15,6,2017
TEMPARIA2M_MAXG,"35,8",16,6,2017
TEMPARIA2M_MAXG,"35,3",17,6,2017
TEMPARIA2M_MAXG,34,18,6,2017
TEMPARIA2M_MAXG,"34,8",19,6,2017
TEMPARIA2M_MAXG,"34,4",20,6,2017
TEMPARIA2M_MAXG,"32,6",21,6,2017
TEMPARIA2M_MAXG,37,22,6,2017
TEMPARIA2M_MAXG,"34,9",23,6,2017
TEMPARIA2M_MAXG,"35,7",24,6,2017
TEMPARIA2M_MAXG,"30,5",25,6,2017
TEMPARIA2M_MAXG,"35,1",26,6,2017
TEMPARIA2M_MAXG,"33,8",27,6,2017
TEMPARIA2M_MAXG,"30,2",28,6,2017
TEMPARIA2M_MAXG,"29,4",29,6,2017
